25, Private, 306908, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K.
41, Self-emp-not-inc, 263871, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 55, United-States, <=50K.
40, State-gov, 55294, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K.
21, Private, 174063, Assoc-voc, 11, Never-married, Other-service, Own-child, White, Female, 0, 0, 20, United-States, <=50K.
54, State-gov, 258735, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K.
47, Private, 275867, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K.
21, Private, 154235, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 35, United-States, <=50K.
32, Local-gov, 210448, Some-college, 10, Married-civ-spouse, Craft-repair, Other-relative, White, Male, 0, 0, 40, United-States, <=50K.
32, Private, 337908, Some-college, 10, Divorced, Adm-clerical, Unmarried, Black, Female, 0, 0, 30, United-States, <=50K.
26, State-gov, 205333, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 10, United-States, <=50K.
23, Private, 187447, Some-college, 10, Separated, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
27, Private, 153589, 9th, 5, Separated, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
29, Local-gov, 149988, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K.
43, Private, 398959, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K.
23, ?, 194096, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 30, United-States, <=50K.
39, Private, 44041, Assoc-acdm, 12, Married-spouse-absent, Adm-clerical, Other-relative, White, Male, 0, 0, 60, United-States, <=50K.
22, Private, 208946, Assoc-acdm, 12, Never-married, Sales, Own-child, White, Male, 0, 0, 30, ?, <=50K.
47, Private, 202117, HS-grad, 9, Divorced, Sales, Not-in-family, White, Female, 0, 0, 37, United-States, <=50K.
34, Local-gov, 303129, HS-grad, 9, Divorced, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States, <=50K.
35, Private, 215419, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K.
20, Private, 175069, Some-college, 10, Never-married, Sales, Own-child, White, Male, 1055, 0, 30, United-States, <=50K.
36, Federal-gov, 20469, HS-grad, 9, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female, 0, 0, 40, United-States, <=50K.
52, Private, 254680, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 99, United-States, <=50K.
38, Self-emp-inc, 46385, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K.
33, Private, 178463, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K.
18, Private, 229296, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 35, United-States, <=50K.
38, Private, 179352, Assoc-acdm, 12, Married-spouse-absent, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K.
56, Self-emp-not-inc, 177368, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 50, United-States, >50K.
30, Private, 156015, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K.
35, State-gov, 308945, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 50, United-States, >50K.
60, Self-emp-not-inc, 119575, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, <=50K.
20, Private, 332689, 5th-6th, 3, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, Mexico, <=50K.
18, Private, 150817, 12th, 8, Never-married, Protective-serv, Own-child, White, Female, 0, 0, 45, United-States, <=50K.
19, Private, 50941, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 15, United-States, <=50K.
53, Federal-gov, 59664, HS-grad, 9, Married-civ-spouse, Sales, Husband, Black, Male, 5013, 0, 40, United-States, <=50K.
18, Private, 56613, Some-college, 10, Never-married, Machine-op-inspct, Own-child, White, Female, 0, 0, 20, United-States, <=50K.
44, Private, 162372, 9th, 5, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, Puerto-Rico, <=50K.
57, Private, 77927, 5th-6th, 3, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 37, United-States, <=50K.
36, ?, 157278, Some-college, 10, Never-married, ?, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
40, Self-emp-not-inc, 170214, Bachelors, 13, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 70, Iran, <=50K.
33, Private, 76493, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 50, United-States, >50K.
19, Private, 130431, 5th-6th, 3, Never-married, Farming-fishing, Not-in-family, White, Male, 0, 0, 36, Mexico, <=50K.
40, State-gov, 23037, Some-college, 10, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male, 0, 0, 84, United-States, <=50K.
20, Self-emp-not-inc, 176321, Some-college, 10, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
47, Private, 105449, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 65, United-States, >50K.
41, Private, 157217, HS-grad, 9, Separated, Craft-repair, Unmarried, White, Male, 0, 0, 40, United-States, <=50K.
47, Federal-gov, 382532, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1887, 40, United-States, >50K.
23, Private, 250918, Some-college, 10, Never-married, Other-service, Not-in-family, Black, Male, 0, 0, 30, United-States, <=50K.
49, State-gov, 139268, Some-college, 10, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 70, United-States, >50K.
37, Self-emp-not-inc, 200352, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, >50K.
67, Private, 267915, HS-grad, 9, Divorced, Craft-repair, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K.
24, Private, 376474, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K.
39, Private, 153047, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, >50K.
29, Private, 154236, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 4386, 0, 58, United-States, >50K.
22, ?, 261881, 11th, 7, Never-married, ?, Other-relative, Black, Female, 0, 0, 15, United-States, <=50K.
26, Private, 427744, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
33, Self-emp-not-inc, 100580, Some-college, 10, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 10, United-States, <=50K.
23, Private, 238179, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 2339, 45, United-States, <=50K.
37, State-gov, 272471, Some-college, 10, Widowed, Transport-moving, Unmarried, White, Female, 0, 0, 40, United-States, <=50K.
30, Private, 259058, Masters, 14, Divorced, Prof-specialty, Unmarried, White, Male, 0, 1726, 40, United-States, <=50K.
41, Private, 112656, HS-grad, 9, Divorced, Other-service, Unmarried, White, Female, 0, 0, 40, United-States, <=50K.
23, Private, 197286, Bachelors, 13, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K.
47, Federal-gov, 26145, Assoc-acdm, 12, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K.
24, Private, 314440, HS-grad, 9, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
39, Private, 57691, HS-grad, 9, Separated, Exec-managerial, Not-in-family, White, Male, 0, 2258, 70, United-States, <=50K.
33, Private, 301251, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, United-States, >50K.
25, Private, 243410, HS-grad, 9, Never-married, Other-service, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K.
40, Private, 119008, HS-grad, 9, Separated, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K.
67, Private, 169435, 9th, 5, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K.
