23, Private, 193537, HS-grad, 9, Never-married, Adm-clerical, Own-child, Black, Male, 0, 0, 20, United-States, <=50K.
20, Private, 313873, HS-grad, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 30, United-States, <=50K.
46, Private, 34186, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K.
44, State-gov, 271807, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 16, United-States, <=50K.
67, ?, 46449, Bachelors, 13, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 10, United-States, <=50K.
31, Private, 128065, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, <=50K.
24, Private, 176486, Bachelors, 13, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
54, Private, 191072, Bachelors, 13, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 35, United-States, <=50K.
28, Private, 34452, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, <=50K.
30, State-gov, 123253, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, <=50K.
42, Private, 113461, HS-grad, 9, Divorced, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
17, Private, 116267, 12th, 8, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 15, Columbia, <=50K.
32, Private, 30433, Bachelors, 13, Never-married, Tech-support, Other-relative, White, Female, 0, 0, 72, United-States, <=50K.
25, Private, 198512, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
49, Self-emp-inc, 131826, Prof-school, 15, Widowed, Prof-specialty, Unmarried, White, Male, 99999, 0, 50, United-States, >50K.
35, Private, 129764, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 45, United-States, <=50K.
32, Private, 49398, Bachelors, 13, Separated, Prof-specialty, Not-in-family, White, Male, 10520, 0, 40, United-States, >50K.
17, Local-gov, 292285, 11th, 7, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 25, United-States, <=50K.
61, Federal-gov, 91726, Masters, 14, Married-civ-spouse, Tech-support, Wife, White, Female, 0, 0, 40, United-States, >50K.
56, Private, 178282, HS-grad, 9, Widowed, Craft-repair, Unmarried, White, Male, 0, 0, 40, United-States, <=50K.
50, Private, 227458, HS-grad, 9, Never-married, Exec-managerial, Unmarried, White, Male, 0, 0, 51, United-States, <=50K.
32, Private, 183470, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male, 0, 0, 42, United-States, <=50K.
41, Private, 275446, Some-college, 10, Separated, Machine-op-inspct, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K.
41, Private, 328013, Masters, 14, Never-married, Prof-specialty, Not-in-family, Black, Male, 0, 0, 65, United-States, <=50K.
19, Private, 382688, 10th, 6, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 20, United-States, <=50K.
18, Private, 122988, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 20, United-States, <=50K.
25, Private, 175537, Bachelors, 13, Never-married, Adm-clerical, Own-child, Black, Female, 0, 0, 40, United-States, <=50K.
21, Private, 256278, HS-grad, 9, Never-married, Other-service, Other-relative, Other, Female, 0, 0, 35, El-Salvador, <=50K.
34, Private, 161153, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K.
31, Private, 48189, 9th, 5, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 65, United-States, <=50K.
36, Private, 186531, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, United-States, <=50K.
19, Private, 96866, Some-college, 10, Never-married, Other-service, Other-relative, White, Female, 0, 0, 30, United-States, <=50K.
35, Private, 117555, Assoc-acdm, 12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 45, United-States, <=50K.
18, ?, 98549, HS-grad, 9, Never-married, ?, Own-child, White, Female, 0, 1602, 35, United-States, <=50K.
39, Private, 101782, HS-grad, 9, Divorced, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
30, Private, 234753, Assoc-voc, 11, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 34, United-States, >50K.
59, Private, 59469, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, >50K.
28, Private, 614113, Some-college, 10, Separated, Adm-clerical, Unmarried, Black, Female, 0, 0, 30, United-States, <=50K.
47, Private, 203505, Doctorate, 16, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 23, United-States, <=50K.
27, Private, 128365, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
56, Private, 36990, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 52, United-States, >50K.
18, Private, 303240, HS-grad, 9, Never-married, Sales, Own-child, White, Female, 0, 0, 20, United-States, <=50K.
