40, Private, 271665, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 50, United-States, <=50K.
25, Private, 124111, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Female, 0, 0, 50, United-States, <=50K.
82, Self-emp-not-inc, 121944, 7th-8th, 4, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K.
48, Self-emp-not-inc, 121424, Bachelors, 13, Separated, Tech-support, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K.
53, State-gov, 33795, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K.
47, Private, 150429, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male, 0, 0, 50, United-States, >50K.
57, Private, 124771, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1740, 40, United-States, <=50K.
21, Private, 204160, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 13, United-States, <=50K.
52, Private, 243616, 5th-6th, 3, Separated, Craft-repair, Unmarried, Black, Female, 4101, 0, 40, United-States, <=50K.
45, Private, 168556, Some-college, 10, Divorced, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
54, Private, 186224, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, >50K.
69, Self-emp-not-inc, 187332, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 20051, 0, 45, United-States, >50K.
30, Private, 113433, Some-college, 10, Never-married, Machine-op-inspct, Own-child, Black, Female, 0, 0, 40, United-States, <=50K.
37, Private, 268598, 7th-8th, 4, Married-civ-spouse, Craft-repair, Husband, Other, Male, 0, 0, 40, United-States, <=50K.
60, Self-emp-inc, 137733, 10th, 6, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 44, United-States, >50K.
55, Private, 210318, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, <=50K.
46, Private, 106662, Bachelors, 13, Separated, Sales, Not-in-family, White, Male, 99999, 0, 55, United-States, >50K.
21, Private, 162667, HS-grad, 9, Married-civ-spouse, Craft-repair, Other-relative, White, Male, 0, 0, 40, Ecuador, <=50K.
25, Private, 187577, Assoc-acdm, 12, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
67, Private, 89495, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 1797, 0, 4, United-States, <=50K.
41, Local-gov, 247082, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K.
